ticker,last_close,expected_close_20d,expected_return_20d,median_return_20d,probability_up,downside_p10,expected_peak_return_20d,forecast_dispersion,predicted_up,rank
PART,103.0,99.93776,-0.029730491267824632,-0.04089273989779274,0.0,-0.044202045329566134,0.002503908027723001,0.01847254358156231,False,454
JAST,82.0,79.53819,-0.030022039646055654,-0.03799103527534298,0.2,-0.04559424795755527,-0.005337636063738582,0.024763391092197207,False,455
UNTD,80.0,77.58918,-0.03013525962829593,0.041801738739013716,0.8,-0.19250205039978027,0.03955644607543942,0.1762000843640091,False,456
CSIS,176.0,170.67531,-0.03025396520441228,-0.034051808443936404,0.4,-0.07422327561811966,0.008897989446466626,0.045136192715738654,False,457
TBMS,1160.0,1124.8728,-0.030281982421874985,-0.05293558054956893,0.4,-0.05993717588227372,0.009061763368803844,0.036960396846306094,False,458
SMKL,150.0,145.42876,-0.030474975585937526,0.006258850097656143,0.6,-0.10646752929687502,0.020376566569010456,0.06866414221564918,False,459
CHIP,915.0,887.04724,-0.030549423134392108,-0.024240162333504123,0.0,-0.052078930797472694,0.013553940403005438,0.022715410110433303,False,460
JKON,66.0,63.969734,-0.030761660951556614,-0.019283872662168577,0.0,-0.06406085852420693,0.0007100885564630399,0.030315229725885608,False,461
JAWA,122.0,118.24371,-0.0307892345991291,-0.03310538119957096,0.2,-0.055220957271388336,-0.007412894827420602,0.025334161940881925,False,462
PRAY,720.0,697.80383,-0.030828060574001736,-0.00564320882161462,0.4,-0.09268795437282988,0.017164916992187428,0.061971213590666006,False,463
KICI,194.0,187.93037,-0.03128676267014337,-0.030401485482442037,0.0,-0.05447425449017398,-0.008542090347132736,0.023086881263743107,False,464
DSSA,840.0,813.6315,-0.03139113653273808,-0.023784528459821375,0.0,-0.05769534156436014,-0.02409604027157739,0.025455421964483582,False,465
BPII,432.0,418.39218,-0.03149959422923898,-0.024917178683810715,0.2,-0.08028555976019965,0.0218919965955946,0.048002373547774486,False,466
HYGN,172.0,166.5512,-0.031679109085437876,-0.027952593426371686,0.0,-0.052351734250090855,-0.00473868791447134,0.02061706011901381,False,467
SSIA,1610.0,1558.926,-0.031722920103843165,-0.039299286078222084,0.2,-0.07095965462441771,0.001956612723214279,0.04398743619475659,False,468
SEMA,97.0,93.87897,-0.0321755792676788,-0.03236632986167043,0.0,-0.04678258207655443,-0.000604924467421064,0.01511027058297903,False,469
PLAN,39.0,37.743958,-0.03220617832281651,-0.05997046446188903,0.4,-0.0978169367863582,0.02805792001577525,0.07720891526054885,False,470
RALS,380.0,367.74548,-0.03224871183696547,-0.029797604209498396,0.0,-0.036606188322368394,-0.0037851112767270044,0.0038686738375289086,False,471
PSSI,332.0,321.27133,-0.03231522893331138,-0.039443326283650215,0.2,-0.07344446756753573,-0.005923903132059505,0.04962720655135001,False,472
LMPI,142.0,137.38425,-0.03250526105853872,-0.030061426297040006,0.0,-0.04898763307383365,-0.0027795066296214532,0.015829957739474855,False,473
DOID,214.0,207.02066,-0.03261375070732331,-0.014482159480870282,0.0,-0.07467481666636247,0.01156821562865069,0.03934250499705426,False,474
ENZO,67.0,64.81221,-0.032653615012097716,-0.02901117125553876,0.0,-0.06267168415126516,0.0159782295796409,0.028428428231618685,False,475
ERAA,410.0,396.56808,-0.03276075409679877,-0.02883293337938264,0.0,-0.05673697122713413,-0.010007175352515251,0.022605675877129215,False,476
EKAD,170.0,164.40613,-0.03290512982536766,-0.03079169778262869,0.0,-0.058374561982996356,-0.00826372931985293,0.024371120006593288,False,477
MSKY,58.0,56.079773,-0.0331073103279903,-0.030340392014076012,0.0,-0.05295581159920528,-0.01195207793137123,0.01859475974741601,False,478
KINO,1255.0,1213.4082,-0.03314087400398409,-0.028876194440986103,0.0,-0.053928757625747024,-0.009081544914093609,0.019284847373005867,False,479
BMSR,312.0,301.6103,-0.03330040956154845,-0.03836392133663857,0.2,-0.057737086369441123,0.0015900636330628659,0.026010178404877606,False,480
TALF,570.0,551.01855,-0.03330082408168857,-0.03485332288240128,0.2,-0.057028680098684184,0.021553248355263132,0.02492494708320148,False,481
ULTJ,1385.0,1338.7643,-0.033383207355595676,-0.03281020842734661,0.0,-0.04481981187951265,-0.0013812718580776151,0.012452955174808308,False,482
SWID,102.0,98.58326,-0.0334974849925322,-0.006868474623736187,0.4,-0.093790480669807,0.0070136425541896365,0.05403607677431583,False,483
SUNI,720.0,695.86615,-0.03351921929253474,-0.01660071478949654,0.4,-0.08542487250434032,0.018620029025607644,0.04696093736841216,False,484
BLOG,356.0,343.98242,-0.03375724192415732,-0.04176407717586905,0.0,-0.052860971515098346,-0.004431786697902007,0.0218394688549624,False,485
GRIA,119.0,114.9668,-0.03389250170282958,-0.049685630477777076,0.2,-0.05424426423401396,-0.0038384060899750326,0.029787248549134428,False,486
ASSA,595.0,574.6825,-0.034147025997899205,-0.04377010569852946,0.4,-0.08703851267069329,0.015224629891018937,0.05361433548964384,False,487
LPCK,520.0,502.19644,-0.03423758873572717,-0.0664051349346454,0.4,-0.0956404231144832,0.02094132643479567,0.07505575172585031,False,488
BVIC,93.0,89.7803,-0.03462046961630545,-0.026881802466607874,0.0,-0.06852838659799225,-0.0010041759860131227,0.03493174226991279,False,489
BBKP,52.0,50.195644,-0.03469914656419024,-0.03550830254187953,0.2,-0.0680298731877254,-0.0009603500366210715,0.03850678315441505,False,490
CNMA,90.0,86.870766,-0.03476932101779515,-0.038227929009331585,0.0,-0.04467090182834203,-0.0015014817979600802,0.013408650811216387,False,491
LFLO,486.0,469.09564,-0.034782616886091834,-0.021305037133487637,0.0,-0.08590773594232254,-0.007376400040991516,0.053564512483913425,False,492
FOLK,204.0,196.89838,-0.03481189503389246,-0.027303433885761286,0.0,-0.054807894837622564,0.0005044076956954635,0.019444350422168286,False,493
MBTO,120.0,115.80147,-0.03498779296875001,-0.05673198699951176,0.2,-0.08836568196614583,0.011094449361165392,0.06826330449931955,False,494
PNLF,228.0,220.01057,-0.03504136738024255,-0.04111681486430918,0.2,-0.0678189863238418,0.007410671836451476,0.03465243765630415,False,495
GWSA,125.0,120.61753,-0.03505972900390626,-0.02194848632812496,0.4,-0.13176612548828123,0.03427889404296873,0.0935388786022663,False,496
VKTR,720.0,694.6747,-0.035174085828993104,0.01984227498372393,0.6,-0.18231055365668405,0.08347354465060756,0.13811107124447178,False,497
