ticker,sector,subsector,has_yfinance_data
BINO,Perindustrian,Jasa Perindustrian,True
BIPI,Energi,"Minyak, Gas & Batu Bara",True
BIPP,Properti & Real Estat,Properti & Real Estat,True
BIRD,Transportasi & Logistik,Transportasi,True
BISI,Barang Konsumen Primer,Makanan & Minuman,True
BJBR,Keuangan,Bank,True
BJTM,Keuangan,Bank,True
BKDP,Properti & Real Estat,Properti & Real Estat,True
BKSL,Properti & Real Estat,Properti & Real Estat,True
BKSW,Keuangan,Bank,True
BLES,Barang Baku,Barang Baku,True
BLOG,Transportasi & Logistik,Logistik & Pengantaran,True
BLTA,Transportasi & Logistik,Logistik & Pengantaran,True
BLTZ,Barang Konsumen Non-Primer,Jasa Konsumen,True
BLUE,Perindustrian,Jasa Perindustrian,True
BMAS,Keuangan,Bank,True
BMBL,Barang Konsumen Non-Primer,Jasa Konsumen,True
BMHS,Kesehatan,Jasa & Peralatan Kesehatan,True
BMRI,Keuangan,Bank,True
BMSR,Barang Baku,Barang Baku,True
BMTR,Barang Konsumen Non-Primer,Media & Hiburan,True
BNBA,Keuangan,Bank,True
BNBR,Perindustrian,Perusahaan Holding Multi Sektor,True
BNGA,Keuangan,Bank,True
BNII,Keuangan,Bank,True
BNLI,Keuangan,Bank,True
BOAT,Energi,"Minyak, Gas & Batu Bara",True
BOBA,Barang Konsumen Primer,Makanan & Minuman,True
BOGA,Barang Konsumen Non-Primer,Perdagangan Ritel,True
BOLA,Barang Konsumen Non-Primer,Jasa Konsumen,True
BOLT,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
BOSS,Energi,"Minyak, Gas & Batu Bara",True
BPFI,Keuangan,Jasa Pembiayaan,True
BPII,Keuangan,Perusahaan Holding & Investasi,True
BPTR,Transportasi & Logistik,Transportasi,True
BRAM,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
BREN,Infrastruktur,Utilitas,True
BRIS,Keuangan,Bank,True
BRMS,Barang Baku,Barang Baku,True
BRNA,Barang Baku,Barang Baku,True
BRPT,Barang Baku,Barang Baku,True
BRRC,Barang Konsumen Primer,Makanan & Minuman,True
BSBK,Properti & Real Estat,Properti & Real Estat,True
BSDE,Properti & Real Estat,Properti & Real Estat,True
BSIM,Keuangan,Bank,True
BSML,Energi,"Minyak, Gas & Batu Bara",True
BSSR,Energi,"Minyak, Gas & Batu Bara",True
BSWD,Keuangan,Bank,True
BTEK,Barang Konsumen Primer,Makanan & Minuman,True
BTEL,Infrastruktur,Telekomunikasi,True
BTON,Barang Baku,Barang Baku,True
BTPN,Keuangan,Bank,True
BTPS,Keuangan,Bank,True
BUAH,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,True
BUDI,Barang Konsumen Primer,Makanan & Minuman,True
BUKA,Teknologi,Perangkat Lunak & Jasa TI,True
BUKK,Infrastruktur,Konstruksi Bangunan,True
BULL,Energi,"Minyak, Gas & Batu Bara",True
BUMI,Energi,"Minyak, Gas & Batu Bara",True
BUVA,Barang Konsumen Non-Primer,Jasa Konsumen,True
BVIC,Keuangan,Bank,True
BWPT,Barang Konsumen Primer,Makanan & Minuman,True
BYAN,Energi,"Minyak, Gas & Batu Bara",True
CAKK,Perindustrian,Barang Perindustrian,True
CAMP,Barang Konsumen Primer,Makanan & Minuman,True
CANI,Energi,"Minyak, Gas & Batu Bara",True
CARE,Kesehatan,Jasa & Peralatan Kesehatan,True
CARS,Barang Konsumen Non-Primer,Perdagangan Ritel,True
CASA,Keuangan,Perusahaan Holding & Investasi,True
CASH,Teknologi,Perangkat Lunak & Jasa TI,True
CASS,Infrastruktur,Infrastruktur Transportasi,True
CBDK,Properti & Real Estat,Properti & Real Estat,True
CBMF,Barang Konsumen Non-Primer,Barang Rumah Tangga,True
CBPE,Properti & Real Estat,Properti & Real Estat,True
CBRE,Energi,"Minyak, Gas & Batu Bara",True
CBUT,Barang Konsumen Primer,Makanan & Minuman,True
CCSI,Perindustrian,Barang Perindustrian,True
CDIA,Infrastruktur,Utilitas,True
CEKA,Barang Konsumen Primer,Makanan & Minuman,True
CENT,Infrastruktur,Telekomunikasi,True
CFIN,Keuangan,Jasa Pembiayaan,True
CGAS,Energi,"Minyak, Gas & Batu Bara",True
CHEK,Kesehatan,Jasa & Peralatan Kesehatan,True
CHEM,Barang Baku,Barang Baku,True
CHIP,Teknologi,Perangkat Keras & Peralatan Teknologi,True
CINT,Barang Konsumen Non-Primer,Barang Rumah Tangga,True
CITA,Barang Baku,Barang Baku,True
CITY,Properti & Real Estat,Properti & Real Estat,True
CLAY,Barang Konsumen Non-Primer,Jasa Konsumen,True
CLEO,Barang Konsumen Primer,Makanan & Minuman,True
CLPI,Barang Baku,Barang Baku,True
CMNP,Infrastruktur,Infrastruktur Transportasi,True
CMNT,Barang Baku,Barang Baku,True
CMPP,Transportasi & Logistik,Transportasi,True
CMRY,Barang Konsumen Primer,Makanan & Minuman,True
CNKO,Energi,"Minyak, Gas & Batu Bara",True
CNMA,Barang Konsumen Non-Primer,Jasa Konsumen,True
CNTB,,,True
CNTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
COAL,Energi,"Minyak, Gas & Batu Bara",True
COCO,Barang Konsumen Primer,Makanan & Minuman,True
COIN,Keuangan,Perusahaan Holding & Investasi,True
COWL,Properti & Real Estat,Properti & Real Estat,True
CPIN,Barang Konsumen Primer,Makanan & Minuman,True
CPRI,Properti & Real Estat,Properti & Real Estat,True
CPRO,Barang Konsumen Primer,Makanan & Minuman,True
CRAB,Barang Konsumen Primer,Makanan & Minuman,True
CRSN,Perindustrian,Jasa Perindustrian,True
CSAP,Barang Konsumen Non-Primer,Perdagangan Ritel,True
CSIS,Properti & Real Estat,Properti & Real Estat,True
CSMI,Barang Konsumen Non-Primer,Jasa Konsumen,True
CSRA,Barang Konsumen Primer,Makanan & Minuman,True
CTBN,Barang Baku,Barang Baku,True
CTRA,Properti & Real Estat,Properti & Real Estat,True
CTTH,Perindustrian,Barang Perindustrian,True
CUAN,Energi,"Minyak, Gas & Batu Bara",True
CYBR,Teknologi,Perangkat Lunak & Jasa TI,True
DAAZ,Barang Baku,Barang Baku,True
DADA,Properti & Real Estat,Properti & Real Estat,True
DART,Properti & Real Estat,Properti & Real Estat,True
DATA,Infrastruktur,Telekomunikasi,True
DAYA,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,True
DCII,Teknologi,Perangkat Lunak & Jasa TI,True
DEAL,Transportasi & Logistik,Logistik & Pengantaran,True
DEFI,Keuangan,Perusahaan Holding & Investasi,True
DEPO,Barang Konsumen Non-Primer,Perdagangan Ritel,True
DEWA,Energi,"Minyak, Gas & Batu Bara",True
DEWI,Barang Konsumen Primer,Makanan & Minuman,True
DFAM,Barang Konsumen Non-Primer,Jasa Konsumen,True
DGIK,Infrastruktur,Konstruksi Bangunan,True
DGNS,Kesehatan,Jasa & Peralatan Kesehatan,True
DGWG,Barang Baku,Barang Baku,True
DIGI,Barang Konsumen Non-Primer,Media & Hiburan,True
DILD,Properti & Real Estat,Properti & Real Estat,True
DIVA,Teknologi,Perangkat Lunak & Jasa TI,True
DKFT,Barang Baku,Barang Baku,True
DKHH,Kesehatan,Jasa & Peralatan Kesehatan,True
DLTA,Barang Konsumen Primer,Makanan & Minuman,True
DMAS,Properti & Real Estat,Properti & Real Estat,True
DMMX,Teknologi,Perangkat Lunak & Jasa TI,True
DMND,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,True
DNAR,Keuangan,Bank,True
DNET,Keuangan,Perusahaan Holding & Investasi,True
DOID,Energi,"Minyak, Gas & Batu Bara",True
DOOH,Barang Konsumen Non-Primer,Media & Hiburan,True
DOSS,Barang Konsumen Non-Primer,Barang Rekreasi,True
DPNS,Barang Baku,Barang Baku,True
DPUM,Barang Konsumen Primer,Makanan & Minuman,True
DRMA,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
DSFI,Barang Konsumen Primer,Makanan & Minuman,True
DSNG,Barang Konsumen Primer,Makanan & Minuman,True
DSSA,Energi,"Minyak, Gas & Batu Bara",True
DUCK,Barang Konsumen Non-Primer,Jasa Konsumen,True
DUTI,Properti & Real Estat,Properti & Real Estat,True
DVLA,Kesehatan,Farmasi & Riset Kesehatan,True
DWGL,Energi,"Minyak, Gas & Batu Bara",True
DYAN,Perindustrian,Jasa Perindustrian,True
EAST,Barang Konsumen Non-Primer,Jasa Konsumen,True
ECII,Barang Konsumen Non-Primer,Perdagangan Ritel,True
EDGE,Teknologi,Perangkat Lunak & Jasa TI,True
EKAD,Barang Baku,Barang Baku,True
ELIT,Teknologi,Perangkat Lunak & Jasa TI,True
ELPI,Transportasi & Logistik,Logistik & Pengantaran,True
ELSA,Energi,"Minyak, Gas & Batu Bara",True
ELTY,Properti & Real Estat,Properti & Real Estat,True
EMAS,Barang Baku,Barang Baku,True
EMDE,Properti & Real Estat,Properti & Real Estat,True
EMTK,Teknologi,Perangkat Lunak & Jasa TI,True
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,True
ENRG,Energi,"Minyak, Gas & Batu Bara",True
ENVY,Teknologi,Perangkat Lunak & Jasa TI,True
ENZO,Barang Konsumen Primer,Makanan & Minuman,True
EPAC,Barang Baku,Barang Baku,True
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,True
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,True
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,True
ERTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
ESIP,Barang Baku,Barang Baku,True
ESSA,Barang Baku,Barang Baku,True
ESTA,Barang Konsumen Non-Primer,Jasa Konsumen,True
ESTI,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
ETWA,Barang Baku,Barang Baku,True
EURO,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,True
EXCL,Infrastruktur,Telekomunikasi,True
FAPA,Barang Konsumen Primer,Makanan & Minuman,True
FAST,Barang Konsumen Non-Primer,Jasa Konsumen,True
FASW,Barang Baku,Barang Baku,True
FILM,Barang Konsumen Non-Primer,Media & Hiburan,True
FIMP,Infrastruktur,Konstruksi Bangunan,True
FIRE,Energi,"Minyak, Gas & Batu Bara",True
FISH,Barang Konsumen Primer,Makanan & Minuman,True
FITT,Barang Konsumen Non-Primer,Jasa Konsumen,True
FLMC,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,True
FMII,Properti & Real Estat,Properti & Real Estat,True
FOLK,Perindustrian,Perusahaan Holding Multi Sektor,True
FOOD,Barang Konsumen Primer,Makanan & Minuman,True
FORE,Barang Konsumen Primer,Makanan & Minuman,True
FORU,Barang Konsumen Non-Primer,Media & Hiburan,True
FPNI,Barang Baku,Barang Baku,True
FUJI,Keuangan,Jasa Pembiayaan,True
FUTR,Barang Konsumen Non-Primer,Media & Hiburan,True
FWCT,Barang Baku,Barang Baku,True
GAMA,Properti & Real Estat,Properti & Real Estat,True
GDST,Barang Baku,Barang Baku,True
GDYR,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
GEMA,Barang Konsumen Non-Primer,Barang Rumah Tangga,True
GEMS,Energi,"Minyak, Gas & Batu Bara",True
GGRM,Barang Konsumen Primer,Rokok,True
GGRP,Barang Baku,Barang Baku,True
GHON,Infrastruktur,Telekomunikasi,True
GIAA,Transportasi & Logistik,Transportasi,True
GJTL,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
GLOB,Barang Konsumen Non-Primer,Perdagangan Ritel,True
GLVA,Teknologi,Perangkat Keras & Peralatan Teknologi,True
GMFI,Infrastruktur,Infrastruktur Transportasi,True
GMTD,Properti & Real Estat,Properti & Real Estat,True
GOLD,Infrastruktur,Telekomunikasi,True
GOLF,Barang Konsumen Non-Primer,Jasa Konsumen,True
GOLL,Barang Konsumen Primer,Makanan & Minuman,True
GOOD,Barang Konsumen Primer,Makanan & Minuman,True
GOTO,Teknologi,Perangkat Lunak & Jasa TI,True
GOTOM,,,False
GPRA,Properti & Real Estat,Properti & Real Estat,True
GPSO,Perindustrian,Barang Perindustrian,True
GRIA,Properti & Real Estat,Properti & Real Estat,True
GRPH,Barang Konsumen Non-Primer,Jasa Konsumen,True
GRPM,Barang Konsumen Primer,Makanan & Minuman,True
GSMF,Keuangan,Perusahaan Holding & Investasi,True
GTBO,Energi,"Minyak, Gas & Batu Bara",True
GTRA,Transportasi & Logistik,Logistik & Pengantaran,True
GTSI,Energi,"Minyak, Gas & Batu Bara",True
GULA,Barang Konsumen Primer,Makanan & Minuman,True
GUNA,Barang Konsumen Primer,Makanan & Minuman,True
GWSA,Barang Konsumen Non-Primer,Jasa Konsumen,True
GZCO,Barang Konsumen Primer,Makanan & Minuman,True
HADE,Infrastruktur,Utilitas,True
HAIS,Transportasi & Logistik,Logistik & Pengantaran,True
HAJJ,Barang Konsumen Non-Primer,Jasa Konsumen,True
HALO,Kesehatan,Jasa & Peralatan Kesehatan,True
HATM,Transportasi & Logistik,Logistik & Pengantaran,True
HBAT,Properti & Real Estat,Properti & Real Estat,True
HDFA,Keuangan,Jasa Pembiayaan,True
HDIT,Teknologi,Perangkat Lunak & Jasa TI,True
HEAL,Kesehatan,Jasa & Peralatan Kesehatan,True
HELI,Transportasi & Logistik,Transportasi,True
HERO,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,True
HEXA,Perindustrian,Barang Perindustrian,True
HGII,Infrastruktur,Utilitas,True
HILL,Energi,"Minyak, Gas & Batu Bara",True
HITS,Energi,"Minyak, Gas & Batu Bara",True
HKMU,Barang Baku,Barang Baku,True
HMSP,Barang Konsumen Primer,Rokok,True
HOKI,Barang Konsumen Primer,Makanan & Minuman,True
HOME,Barang Konsumen Non-Primer,Jasa Konsumen,True
HOMI,Properti & Real Estat,Properti & Real Estat,True
HOPE,Perindustrian,Barang Perindustrian,True
HOTL,Barang Konsumen Non-Primer,Jasa Konsumen,True
HRME,Barang Konsumen Non-Primer,Jasa Konsumen,True
HRTA,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
HRUM,Energi,"Minyak, Gas & Batu Bara",True
HUMI,Energi,"Minyak, Gas & Batu Bara",True
HYGN,Perindustrian,Jasa Perindustrian,True
IATA,Energi,"Minyak, Gas & Batu Bara",True
IBFN,Perindustrian,Barang Perindustrian,True
IBOS,Barang Konsumen Primer,Makanan & Minuman,True
IBST,Infrastruktur,Telekomunikasi,True
ICBP,Barang Konsumen Primer,Makanan & Minuman,True
ICON,Perindustrian,Jasa Perindustrian,True
IDEA,Barang Konsumen Non-Primer,Jasa Konsumen,True
IDPR,Infrastruktur,Konstruksi Bangunan,True
IFII,Barang Baku,Barang Baku,True
IFSH,Barang Baku,Barang Baku,True
IGAR,Barang Baku,Barang Baku,True
IIKP,Barang Konsumen Non-Primer,Barang Rekreasi,True
IKAI,Perindustrian,Barang Perindustrian,True
IKAN,Barang Konsumen Primer,Makanan & Minuman,True
IKBI,Perindustrian,Barang Perindustrian,True
IKPM,Kesehatan,Farmasi & Riset Kesehatan,True
IMAS,Barang Konsumen Non-Primer,Perdagangan Ritel,True
IMJS,Transportasi & Logistik,Transportasi,True
IMPC,Perindustrian,Barang Perindustrian,True
INAF,Kesehatan,Farmasi & Riset Kesehatan,True
INAI,Barang Baku,Barang Baku,True
INCF,Barang Baku,Barang Baku,True
INCI,Barang Baku,Barang Baku,True
INCO,Barang Baku,Barang Baku,True
INDF,Barang Konsumen Primer,Makanan & Minuman,True
INDO,Properti & Real Estat,Properti & Real Estat,True
INDR,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
INDS,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
INDX,Perindustrian,Jasa Perindustrian,True
INDY,Energi,"Minyak, Gas & Batu Bara",True
INET,Infrastruktur,Telekomunikasi,True
INKP,Barang Baku,Barang Baku,True
INOV,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,True
INPC,Keuangan,Bank,True
INPP,Properti & Real Estat,Properti & Real Estat,True
INPS,Energi,"Minyak, Gas & Batu Bara",True
INRU,Barang Baku,Barang Baku,True
INTA,Perindustrian,Barang Perindustrian,True
INTD,Barang Baku,Barang Baku,True
INTP,Barang Baku,Barang Baku,True
IOTF,Teknologi,Perangkat Keras & Peralatan Teknologi,True
IPAC,Properti & Real Estat,Properti & Real Estat,True
IPCC,Infrastruktur,Infrastruktur Transportasi,True
IPCM,Infrastruktur,Infrastruktur Transportasi,True
IPOL,Barang Baku,Barang Baku,True
IPPE,Barang Konsumen Primer,Makanan & Minuman,True
IPTV,Barang Konsumen Non-Primer,Media & Hiburan,True
IRRA,Kesehatan,Jasa & Peralatan Kesehatan,True
IRSX,Teknologi,Perangkat Lunak & Jasa TI,True
ISAP,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
ISAT,Infrastruktur,Telekomunikasi,True
ISEA,Barang Konsumen Primer,Makanan & Minuman,True
ISSP,Barang Baku,Barang Baku,True
ITIC,Barang Konsumen Primer,Rokok,True
ITMA,Energi,"Minyak, Gas & Batu Bara",True
ITMG,Energi,"Minyak, Gas & Batu Bara",True
JARR,Barang Konsumen Primer,Makanan & Minuman,True
JAST,Infrastruktur,Telekomunikasi,True
JATI,Teknologi,Perangkat Lunak & Jasa TI,True
JAWA,Barang Konsumen Primer,Makanan & Minuman,True
JAYA,Transportasi & Logistik,Logistik & Pengantaran,True
JECC,Perindustrian,Barang Perindustrian,True
JGLE,Barang Konsumen Non-Primer,Jasa Konsumen,True
JIHD,Barang Konsumen Non-Primer,Jasa Konsumen,True
JKON,Infrastruktur,Konstruksi Bangunan,True
JMAS,Keuangan,Asuransi,True
JPFA,Barang Konsumen Primer,Makanan & Minuman,True
JRPT,Properti & Real Estat,Properti & Real Estat,True
JSKY,Energi,Energi Alternatif,True
JSMR,Infrastruktur,Infrastruktur Transportasi,True
JSPT,Barang Konsumen Non-Primer,Jasa Konsumen,True
JTPE,Perindustrian,Jasa Perindustrian,True
KAEF,Kesehatan,Farmasi & Riset Kesehatan,True
KAQI,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
KARW,Infrastruktur,Infrastruktur Transportasi,True
KAYU,Barang Baku,Barang Baku,True
KBAG,Properti & Real Estat,Properti & Real Estat,True
KBLI,Perindustrian,Barang Perindustrian,True
KBLM,Perindustrian,Barang Perindustrian,True
KBLV,Infrastruktur,Telekomunikasi,True
KBRI,Barang Baku,Barang Baku,True
KDSI,Barang Baku,Barang Baku,True
KDTN,Barang Konsumen Non-Primer,Jasa Konsumen,True
KEEN,Infrastruktur,Utilitas,True
KEJU,Barang Konsumen Primer,Makanan & Minuman,True
KETR,Infrastruktur,Telekomunikasi,True
KIAS,Perindustrian,Barang Perindustrian,True
KICI,Barang Konsumen Non-Primer,Barang Rumah Tangga,True
KIJA,Properti & Real Estat,Properti & Real Estat,True
KING,Perindustrian,Jasa Perindustrian,True
KINO,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,True
KIOS,Teknologi,Perangkat Lunak & Jasa TI,True
KJEN,Transportasi & Logistik,Logistik & Pengantaran,True
KKES,Barang Baku,Barang Baku,True
KKGI,Energi,"Minyak, Gas & Batu Bara",True
KLAS,Transportasi & Logistik,Logistik & Pengantaran,True
KLBF,Kesehatan,Farmasi & Riset Kesehatan,True
KLIN,Barang Konsumen Non-Primer,Perdagangan Ritel,True
KMDS,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,True
KMTR,Barang Baku,Barang Baku,True
KOBX,Perindustrian,Barang Perindustrian,True
KOCI,Properti & Real Estat,Properti & Real Estat,True
KOIN,Perindustrian,Barang Perindustrian,True
KOKA,Infrastruktur,Konstruksi Bangunan,True
KONI,Perindustrian,Jasa Perindustrian,True
KOPI,Energi,"Minyak, Gas & Batu Bara",True
KOTA,Barang Konsumen Non-Primer,Jasa Konsumen,True
KPIG,Barang Konsumen Non-Primer,Jasa Konsumen,True
KRAS,Barang Baku,Barang Baku,True
KREN,Teknologi,Perangkat Lunak & Jasa TI,True
KRYA,Infrastruktur,Konstruksi Bangunan,True
KSIX,Properti & Real Estat,Properti & Real Estat,True
KUAS,Perindustrian,Barang Perindustrian,True
LABA,Perindustrian,Barang Perindustrian,True
LABS,Kesehatan,Jasa & Peralatan Kesehatan,True
LAJU,Transportasi & Logistik,Logistik & Pengantaran,True
LAND,Properti & Real Estat,Properti & Real Estat,True
LAPD,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,True
LCGP,Properti & Real Estat,Properti & Real Estat,True
LCKM,Infrastruktur,Telekomunikasi,True
LEAD,Energi,"Minyak, Gas & Batu Bara",True
LFLO,Barang Konsumen Non-Primer,Barang Rumah Tangga,True
LIFE,Keuangan,Asuransi,True
LINK,Infrastruktur,Telekomunikasi,True
LION,Perindustrian,Jasa Perindustrian,True
LIVE,Barang Konsumen Non-Primer,Barang Rumah Tangga,True
LMAS,Teknologi,Perangkat Lunak & Jasa TI,True
LMAX,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,True
LMPI,Barang Konsumen Non-Primer,Barang Rumah Tangga,True
LMSH,Barang Baku,Barang Baku,True
LOPI,Transportasi & Logistik,Logistik & Pengantaran,True
LPCK,Properti & Real Estat,Properti & Real Estat,True
LPGI,Keuangan,Asuransi,True
