Code,prevValue,closeValue,changePrice,changePercentage,avgDailyMovePct,avgAbsDailyMovePct,jumlahHariData,Sektor,SubSektor
RUIS,169.53,204.0,34.47,20.33,1.134,2.58,18,Energi,"Minyak, Gas & Batu Bara"
RUNS,73.0,67.0,-6.0,-8.22,-0.467,1.693,18,Teknologi,Perangkat Lunak & Jasa TI
SAFE,328.0,376.0,48.0,14.63,0.815,1.345,18,Transportasi & Logistik,Transportasi
SAGE,20.0,34.0,14.0,70.0,3.343,6.019,18,Properti & Real Estat,Properti & Real Estat
SAME,350.0,298.0,-52.0,-14.86,-0.925,1.68,18,Kesehatan,Jasa & Peralatan Kesehatan
SAMF,280.0,278.0,-2.0,-0.71,-0.037,0.634,18,Barang Baku,Barang Baku
SAPX,208.0,218.0,10.0,4.81,0.296,1.524,18,Transportasi & Logistik,Logistik & Pengantaran
SATU,274.0,270.0,-4.0,-1.46,-0.085,0.431,18,Properti & Real Estat,Properti & Real Estat
SBAT,1.0,1.0,0.0,0.0,0.0,0.0,17,Barang Konsumen Non-Primer,Pakaian & Barang Mewah
SBMA,106.0,107.0,1.0,0.94,0.064,1.038,18,Barang Baku,Barang Baku
SCCO,2190.0,2270.0,80.0,3.65,0.219,0.937,18,Perindustrian,Barang Perindustrian
SCMA,199.0,199.0,0.0,0.0,0.026,1.713,18,Barang Konsumen Non-Primer,Media & Hiburan
SCNP,140.0,154.0,14.0,10.0,0.595,1.934,18,Barang Konsumen Non-Primer,Barang Rumah Tangga
SDMU,78.0,78.0,0.0,0.0,0.04,1.888,18,Transportasi & Logistik,Logistik & Pengantaran
SDPC,179.0,182.0,3.0,1.68,0.104,0.941,18,Barang Konsumen Primer,Perdagangan Ritel Barang Primer
SDRA,210.0,206.0,-4.0,-1.9,-0.103,1.236,18,Keuangan,Bank
