number,value,datetime_start,datetime_complete,duration,params_drawdown_60,params_hit5_rate_20,params_hit5_rate_60,params_mom_20,params_mom_5,params_pred_close_gain_mean,params_pred_close_up_probability,params_pred_high_gain_dispersion,params_pred_high_gain_mean,params_pred_high_gain_median,params_pred_hit5_probability,params_pred_low_gain_mean,params_pred_range_mean,params_range_20,params_turnover_accel,params_volatility_20,params_volume_ratio_5_60,state
746,0.49135802469135803,2026-07-31 17:43:18.698738,2026-07-31 17:43:18.850427,0 days 00:00:00.151689,-0.6790689187243355,0.9007872388581207,0.973722804520174,-0.8924027703749311,-0.014907020937857056,0.5543804651108432,0.3453461782645807,0.745444809458559,-0.5342772430915672,0.2816954394621042,0.7545567501214907,0.31907940821503183,0.8757637243832701,0.1627211366487223,0.4664652187849499,-0.5777130867451488,0.6286539987080562,COMPLETE
747,0.49382716049382724,2026-07-31 17:43:18.851103,2026-07-31 17:43:18.999876,0 days 00:00:00.148773,-0.6874160760555653,0.922010752619775,0.9881259368881455,-0.9090599389768248,0.02567866317137104,0.5416824411308488,0.23371935113315145,0.7039060032542521,-0.5169834336831683,0.29471522103208503,0.7089219664120258,0.3034396376999123,0.8682678989342578,0.1644684138597623,0.46774485688380546,-0.5373114134266173,0.6161996176287162,COMPLETE
748,0.4876543209876544,2026-07-31 17:43:19.000588,2026-07-31 17:43:19.149492,0 days 00:00:00.148904,-0.6449896198413573,0.8895987822511788,0.9985779364936898,-0.9642175083868262,0.017753713762966944,0.5590716892696673,0.3679115038939362,0.691471370311569,-0.5869644129882875,0.2177990022155757,0.7534720257029588,0.3337087649197048,0.8496067178864811,0.1434739018771619,0.46947126784358095,-0.5628179896551101,0.6195270581818371,COMPLETE
749,0.4925925925925927,2026-07-31 17:43:19.150172,2026-07-31 17:43:19.296827,0 days 00:00:00.146655,-0.6500498935702828,0.8818106833086883,0.9801910255183212,-0.9930953143497242,0.032629945555293534,0.5815099939404047,0.24349120708227123,0.700894081713545,-0.5353353834189959,0.27118539779836986,0.7056410199427621,0.32075900492511994,0.8910599091404613,0.16294084185851493,0.4677289861033792,-0.6446129940432181,0.6101916945740368,COMPLETE
750,0.49135802469135803,2026-07-31 17:43:19.297447,2026-07-31 17:43:19.445911,0 days 00:00:00.148464,-0.6384477570594799,0.9191849642686506,0.9929515529498275,-0.9058119880148269,0.03312089139260663,0.6016858496089091,0.3102527665302593,0.6599432403201725,-0.5500106234493307,0.254007701806551,0.7124320993267823,0.29428557663724486,0.8660828192796436,0.18330479857107368,0.4539029015121909,-0.5929012685144244,0.5544489596490008,COMPLETE
751,0.49012345679012354,2026-07-31 17:43:19.446555,2026-07-31 17:43:19.591312,0 days 00:00:00.144757,-0.6810914983728367,0.9007114682499403,0.9824519562339997,-0.9665904852254878,-0.00027425582012737676,0.6180178843492758,0.3401730858880688,0.7045803927096789,-0.5423208930167421,0.298901337991093,0.7096608850858944,0.3269931432173522,0.8775862286624359,0.1721239311994875,0.47137229728192975,-0.5520836813378096,0.5737218922103815,COMPLETE
752,0.4925925925925927,2026-07-31 17:43:19.592039,2026-07-31 17:43:19.745199,0 days 00:00:00.153160,-0.6152176651446237,0.9123119660162744,0.9889203053138238,-0.9161465930961373,0.04099357495706038,0.5713313546114105,0.26414845889213656,0.677283785291908,-0.5335159449926802,0.2744588290008838,0.6880048843130437,0.3376089391544685,0.8859937230698569,0.21419094309367803,0.4804143139681658,-0.5373744196821354,0.5928616109926376,COMPLETE
753,0.4851851851851852,2026-07-31 17:43:19.745921,2026-07-31 17:43:19.895668,0 days 00:00:00.149747,-0.6136549308439236,0.8938541603086463,0.9994254341936464,-0.9913614640886612,0.03481032743736252,0.6230868553882182,0.4150207615308855,0.6605756494074753,-0.5552162862536226,0.22311296532680716,0.6852397984566582,0.3202147354907735,0.859722336216718,0.19217035487189899,0.4786896921169757,-0.5453265934277587,0.5691767024366092,COMPLETE
754,0.4876543209876544,2026-07-31 17:43:19.896492,2026-07-31 17:43:20.048093,0 days 00:00:00.151601,-0.6976007558644002,0.8720176451911145,0.9753925017622356,-0.8579955327971227,-0.02206795395701769,0.5849494577600632,0.2830263529065499,0.6650232635448718,-0.5183035083307911,0.293511455557781,0.6685339617684228,0.3373258250603382,0.8852910543850693,0.24829735129837244,0.45352188508727764,-0.6632213751506542,0.5675632570291,COMPLETE
755,0.4925925925925927,2026-07-31 17:43:20.048723,2026-07-31 17:43:20.194894,0 days 00:00:00.146171,-0.6353564993809586,0.905352566320889,0.996545987185206,-0.9060732329270165,-0.001644379087749552,0.5774143743525723,0.2794190193716318,0.6881224767478811,-0.5318953866254656,0.2502737769047102,0.7152974888087024,0.39024549062750763,0.8913566590401759,0.30196356241753153,0.4947682579368806,-0.593465579656272,0.6104102640074424,COMPLETE
