ticker,last_close,expected_close_20d,expected_return_20d,median_return_20d,probability_up,downside_p10,expected_peak_return_20d,forecast_dispersion,predicted_up,rank
PSAT,845.0,827.4655,-0.020750840768306224,-0.03170924440643497,0.2,-0.049131942839312104,0.005058131471893534,0.033009738177689804,False,368
BESS,865.0,846.9705,-0.020843287120664723,-0.021028340069544793,0.0,-0.02151231710621382,-0.0003092683119581219,0.000810597563275368,False,369
KOCI,97.0,94.971695,-0.020910314186332137,-0.0212070425761115,0.0,-0.024343903531733213,0.018270543678519637,0.0036169694581303217,False,370
KBLM,298.0,291.74893,-0.020976800086514237,-0.021095531898856934,0.2,-0.03591748948065223,0.008159028123689138,0.016277186756702523,False,371
AMRT,1335.0,1306.7107,-0.021190437002574926,0.003270204236891283,0.6,-0.06317669929190076,0.01567488881086141,0.0372012574124527,False,372
MICE,520.0,508.9589,-0.021232957106370208,-0.020309624305138274,0.0,-0.030699216402493977,-0.004851473294771647,0.009856585831769373,False,373
LPCK,520.0,508.9481,-0.02125366210937498,-0.005340810922475958,0.2,-0.05778266319861777,0.00141500619741588,0.03711447577834932,False,374
MIKA,1730.0,1693.0007,-0.021386859871748553,-0.012788946780166177,0.0,-0.04727581399024565,0.010643275266437869,0.02576263765880599,False,375
GGRP,296.0,289.66333,-0.021407689274968344,-0.018677170212204386,0.0,-0.032174620757231875,-0.0042454899968327854,0.010798024418065804,False,376
IPCM,302.0,295.51703,-0.0214667718142074,-0.02951383274912045,0.4,-0.04477876574787876,0.011549246074348086,0.02563030003528664,False,377
RALS,380.0,371.7826,-0.021624771921258203,-0.035322490491365155,0.2,-0.04147011204769733,-0.00025935122841285184,0.024978767531311133,False,378
IDEA,60.0,58.69638,-0.0217269770304362,-0.03266232808430991,0.2,-0.0339011637369792,-0.001607958475748661,0.024954618965625213,False,379
KEJU,550.0,538.01624,-0.02178859641335229,-0.0209244051846591,0.0,-0.03068741122159091,-0.002951526988636366,0.008540794987116221,False,380
PANS,1570.0,1535.6215,-0.021897174810907603,-0.0233123196158439,0.2,-0.04565561865545378,0.007388379528264366,0.024898999005620235,False,381
CASA,1840.0,1799.694,-0.021905477772588312,-0.018717823857846483,0.0,-0.041188911769701055,-0.01178793202275814,0.018595279957277236,False,382
MARI,23.0,22.493866,-0.022005827530570676,-0.02144398896590527,0.0,-0.02312950465990149,-0.02147692804751191,0.0012563092229727609,False,383
PTIS,266.0,260.03027,-0.02244263842589871,-0.015825773540296018,0.4,-0.06251728947001294,0.012733815128641912,0.04053870467569745,False,384
BELI,254.0,248.25961,-0.022599924643208657,-0.02225632554902801,0.0,-0.03526808370755412,0.0038491436815636824,0.012478750833947075,False,385
MEGA,1990.0,1945.0201,-0.02260294391881281,-0.016317795029836657,0.0,-0.043735290220634424,0.008564244562657053,0.019699032242884287,False,386
PANR,414.0,404.63834,-0.02261272927989131,-0.017884037920818274,0.0,-0.03444308221052235,0.004040999113073651,0.01220819170595752,False,387
EKAD,170.0,166.13818,-0.022716549144071684,-0.019285314223345562,0.0,-0.03376565372242648,-0.00765379064223346,0.010292378502627922,False,388
GOLD,266.0,259.88928,-0.022972600262864185,-0.019172611093162595,0.0,-0.031152320804452516,-0.008294402387805455,0.008014749116939134,False,389
PRIM,104.0,101.59009,-0.023172261164738563,-0.05344016735370338,0.4,-0.09332875471848705,0.033682177616999674,0.08464858299427684,False,390
DEPO,244.0,238.3365,-0.023211057068871655,-0.01684238871590038,0.0,-0.043653144211065545,-0.003886476110239534,0.01906940210277393,False,391
BBCA,6450.0,6300.199,-0.023224942466085263,-0.04035443919573645,0.2,-0.057717417635658894,0.009600351259689943,0.051686825504420546,False,392
DOSS,160.0,156.27344,-0.023291034698486302,-0.058750152587890625,0.2,-0.08694410324096676,0.1041251945495606,0.1041229912163846,False,393
ASDM,515.0,502.89716,-0.023500680275333762,-0.022349770555218473,0.2,-0.04335933944554009,0.000567129190685689,0.019400925099555925,False,394
LABS,151.0,147.40012,-0.02384035224156662,-0.0217447849298944,0.0,-0.035538002670995425,-0.006432539579884123,0.011966952601123702,False,395
SHID,615.0,600.2242,-0.024025739964430894,-0.019370871443089466,0.0,-0.04159136020071139,0.004211525025406471,0.0168641227380466,False,396
MKTR,121.0,118.09233,-0.0240302472075155,-0.01655452507586519,0.0,-0.04593962361989927,0.000670957959387919,0.02206639947339587,False,397
GWSA,125.0,121.984985,-0.024120092773437497,-0.009241943359375004,0.2,-0.06171822509765625,0.029880224609375006,0.03526407631620236,False,398
TOSK,68.0,66.35969,-0.024122249378877546,-0.01789900835822611,0.2,-0.05369041667265051,3.4332275390625e-05,0.02835235810410898,False,399
DOID,214.0,208.77866,-0.024398732408184864,-0.01866492155556365,0.2,-0.055157627569180745,0.0035480534918954864,0.02956913930618303,False,400
HDFA,90.0,87.80227,-0.02441923353407118,-0.01612938774956596,0.0,-0.038799099392361105,0.007634718153211773,0.012966198735486089,False,401
NZIA,138.0,134.61934,-0.024497587784476905,-0.024260258329087403,0.0,-0.026091910099637673,0.005599820786628218,0.0015484188110483066,False,402
TMAS,122.0,119.00735,-0.024529966760854262,-0.023880755315061508,0.2,-0.0642510711169634,0.004896883104668293,0.041181223659016185,False,403
IMAS,845.0,824.2601,-0.0245442804641272,-0.027301494891826872,0.2,-0.038007899177145,0.0011271784855769295,0.01613374105890974,False,404
