ticker,last_close,expected_close_10bar,expected_return_10bar,median_return_10bar,probability_up,downside_p10,expected_peak_return_10bar,forecast_dispersion,predicted_up,rank
APLN,122.0,124.25044,0.01844626254722721,0.021941075559522183,1.0,0.01179873357053669,0.02520281682248977,0.005929776863870735,True,41
MANG,39.0,39.714333,0.01831622001452322,0.020930265768980272,1.0,0.011305588942307754,0.02912537012344756,0.007172561896747807,True,42
DMMX,178.0,181.12202,0.0175394465414326,0.015670347749517255,1.0,0.011778687895014083,0.022401119617933674,0.007249869501386026,True,43
LPCK,515.0,524.02484,0.01752398740898058,0.018534895517293704,1.0,0.006653969773968438,0.026666129399271866,0.01180665970140785,True,44
RSCH,314.0,319.02673,0.016008685652617462,0.013906491030553303,0.8,-0.0013713472208399576,0.02297542110370223,0.01746439049049832,True,45
RONY,1300.0,1320.404,0.0156954627403846,0.00732421875,0.8,-0.0024281287560096398,0.040002065805288464,0.022410038256410237,True,46
RMKO,280.0,284.34427,0.015515223911830356,0.018205915178571397,0.8,0.004301103864397327,0.022734876360212077,0.010917187212325447,True,47
BWPT,80.0,81.22711,0.01533885955810541,0.009086799621581987,0.8,-0.0005942916870117498,0.019941997528076173,0.017259011250824595,True,48
MTMH,900.0,913.5658,0.015073174370659737,0.011382581922743107,0.8,0.001053588867187494,0.024602634006076363,0.014569211476075783,True,49
SMKM,70.0,71.04326,0.01490373883928573,0.004139273507254515,0.8,0.000990491594587084,0.019413059779575904,0.026117205371244973,True,50
ZATA,64.0,64.94839,0.01481856107711792,0.012011051177978516,0.6,-0.010502469539642335,0.04022152423858642,0.03103267434706614,True,51
SHID,615.0,624.10864,0.014810820788871948,0.005396301765752121,0.6,-0.0020376413236788734,0.021856461191565035,0.019663086704801283,True,52
KLAS,75.0,76.104546,0.014727315266927077,0.016662089029947813,1.0,0.008322753906250036,0.021075459798177043,0.0059220303876197315,True,53
YPAS,605.0,613.8693,0.014660019047004157,0.01987082741477275,0.8,-0.00024075090392561282,0.02244657153925622,0.01383342850073828,True,54
PMJS,107.0,108.56083,0.014587145653840538,0.01931277836594636,1.0,0.005374601845429305,0.020152696270809,0.008266754084711836,True,55
SSMS,990.0,1004.31165,0.014456219913983537,0.014604048295454586,1.0,0.004806191800820603,0.018991884173768937,0.01117817187157027,True,56
ZONE,755.0,765.4044,0.013780719681291442,0.0035253259519867353,1.0,0.0016991055722269,0.018217191380380804,0.019082620921721926,True,57
YULE,3370.0,3416.278,0.013732439261869445,0.02201452962722561,0.6,-0.0353018940096439,0.030836351887054848,0.04730525051615473,True,58
ERTX,175.0,177.32434,0.01328194754464287,-0.009056745256696419,0.2,-0.02011274065290176,0.02717049734933037,0.058726982408579965,False,59
CBDK,3690.0,3737.3032,0.01281931476541327,0.0032001609078591287,0.8,-3.035547933605276e-05,0.02277506510416667,0.018159301617205758,True,60
TRJA,110.0,111.4073,0.012793592973188873,0.012510681152343661,1.0,0.008977189497514183,0.016846965443004302,0.004538760520286758,True,61
PGJO,685.0,693.69824,0.012698145956888673,0.009322340471030977,0.8,0.0014819870552007066,0.02136258981523729,0.014633264642881207,True,62
BBCA,6400.0,6480.7163,0.012611968994140632,0.012420272827148526,1.0,0.006533355712890554,0.01367813110351559,0.006771618708155816,True,63
SAMF,274.0,277.42664,0.012505947586393696,0.011420479656135907,1.0,0.009445168154082983,0.016627290823163766,0.0035240449497525804,True,64
LSIP,1435.0,1452.8285,0.012424086726916351,0.014060628538762998,1.0,0.007080027085148011,0.016729519408754355,0.005127793810536637,True,65
KBLM,296.0,299.63196,0.01227012840477193,0.01099529781857056,1.0,0.006169767637510581,0.014625466836465328,0.006243037080803171,True,66
BRNA,590.0,597.2246,0.012245121325476704,0.014852750099311418,1.0,0.006069294557733107,0.017363136420815682,0.006472849970370047,True,67
WMUU,52.0,52.61186,0.011766521747295667,0.011524934035081147,1.0,0.009180509127103331,0.02614035973182092,0.0027168944992964116,True,68
AMOR,340.0,343.9809,0.011708517635569838,0.011760307760799726,1.0,0.008883702895220492,0.014041586483226131,0.0030636525780198334,True,69
MOLI,266.0,269.0921,0.011624397908834582,0.005931194563557396,0.6,-0.004338888297403675,0.019565668321193597,0.017256065282014302,True,70
DATA,2050.0,2073.7556,0.011588104992378057,0.012391863567073225,0.8,-1.8411775914639475e-05,0.016592392339939054,0.01180928014613032,True,71
BFIN,920.0,930.5348,0.011450805664062513,0.018149798849354637,0.6,-0.020420492421025793,0.03381522800611418,0.03307054985064405,True,72
CMNT,820.0,829.1497,0.011158223966272862,0.010988709984756095,1.0,0.0100636105421112,0.013633854563643277,0.0010998167133728272,True,73
RIGS,665.0,672.3245,0.011014340049342097,0.009727443609022446,1.0,0.0064731775728383845,0.022389365748355282,0.005660645636690066,True,74
CLEO,382.0,386.1421,0.010843151152446006,0.0061492919921875,1.0,0.00258415182223497,0.01413171578452226,0.010578232979642986,True,75
ALDO,840.0,848.98645,0.010698154994419572,0.004857817150297539,0.8,-0.005306541806175646,0.030236104329427072,0.018188073927701946,True,76
GMFI,56.0,56.592033,0.010572092873709527,0.0027378627232141906,0.6,-0.003036321912493012,0.012196704319545181,0.019525791001806667,True,77
