horizon_day,date,ticker,previous_expected_close,expected_close,expected_daily_return,median_daily_return,probability_daily_up,downside_p10,upside_p90,rank
1,2026-08-03,ADMG,222.0,224.96538,0.013357592,0.01573515,0.6,-0.005157768726348877,0.03111567348241806,88
1,2026-08-03,STRK,63.0,63.83556,0.013262796,0.0037350655,1.0,0.002140641212463379,0.03410174325108528,89
1,2026-08-03,SMAR,5875.0,5950.8193,0.012905347,0.006434083,0.8,-0.004257094580680132,0.03467340022325516,90
1,2026-08-03,DPUM,98.0,99.253395,0.012789702,0.013455272,1.0,0.011791348457336426,0.01345527172088623,91
1,2026-08-03,BACA,115.0,116.468605,0.012770486,0.0073902607,0.8,-0.002493953565135598,0.03417627513408661,92
1,2026-08-03,LRNA,183.0,185.30399,0.012590098,0.006528139,1.0,0.004725980572402477,0.02329402044415474,93
1,2026-08-03,NISP,1290.0,1306.2366,0.012586474,0.009878039,1.0,0.0027168751694262028,0.02578553929924965,94
1,2026-08-03,CITA,3250.0,3290.8176,0.012559247,0.015622258,1.0,0.005542207043617964,0.017006563022732735,95
1,2026-08-03,TBLA,620.0,627.71075,0.0124367,0.018794537,0.8,-0.0021591661497950554,0.022313928231596947,96
1,2026-08-03,INOV,142.0,143.75012,0.012324798,0.020389557,0.6,-0.01882915571331978,0.03859701007604599,97
1,2026-08-03,JMAS,228.0,230.72652,0.011958361,0.011958361,1.0,0.01195836067199707,0.01195836067199707,98
1,2026-08-03,TCID,2720.0,2752.512,0.011952949,0.009578586,1.0,0.008430528454482555,0.016815567389130592,99
1,2026-08-03,KOIN,78.0,78.93091,0.011934757,0.011934757,1.0,0.011934757232666016,0.011934757232666016,100
1,2026-08-03,PSSI,318.0,321.73816,0.011755228,0.017938137,0.8,-0.005436706356704235,0.026044033467769623,101
1,2026-08-03,MSIN,400.0,404.69327,0.011733103,0.003708005,0.8,5.69105613976717e-05,0.030507847666740417,102
1,2026-08-03,SURE,2770.0,2801.9712,0.011541963,0.010751605,1.0,0.01028754748404026,0.01358020305633545,103
1,2026-08-03,TAMU,21.0,21.241266,0.0114888195,0.015840173,0.8,-0.020988941192626953,0.04045426473021507,104
1,2026-08-03,MERK,3800.0,3842.8953,0.01128825,0.0133116245,0.6,-0.009324741549789906,0.030321359634399414,105
1,2026-08-03,PTMP,62.0,62.69053,0.011137498,0.01077795,0.6,-0.006006836891174316,0.027835678309202194,106
1,2026-08-03,NFCX,1495.0,1511.6335,0.011126185,0.013221264,1.0,0.003931927494704723,0.016550779342651367,107
1,2026-08-03,SUPA,605.0,611.66144,0.011010647,0.021325469,0.6,-0.010164594277739525,0.02700216695666313,108
1,2026-08-03,TRUK,432.0,436.72372,0.0109346155,0.01539886,0.6,-0.012825334444642067,0.03168592229485512,109
1,2026-08-03,BVIC,93.0,94.01347,0.010897612,0.012381673,0.8,-0.0004909038543701172,0.021564936265349388,110
1,2026-08-03,SDMU,78.0,78.837425,0.010736287,0.022231102,0.6,-0.027643881738185883,0.039900850504636765,111
1,2026-08-03,TINS,3800.0,3840.602,0.0106847165,0.01406014,0.6,-0.011864209547638893,0.03302657604217529,112
1,2026-08-03,BBLD,590.0,596.301,0.010679686,0.0035403967,0.8,-0.011543571949005127,0.03851406276226044,113
1,2026-08-03,TOTL,1140.0,1152.1594,0.0106661795,0.009305239,1.0,0.006002950482070446,0.0163679588586092,114
1,2026-08-03,MSTI,1330.0,1344.1393,0.010631037,0.008432627,1.0,0.007288241293281317,0.015635013580322266,115
1,2026-08-03,LPLI,244.0,246.54245,0.010419881,0.0052348375,0.6,-0.007101333234459162,0.030192136764526367,116
1,2026-08-03,BKDP,169.0,170.74959,0.010352576,0.0054980516,0.6,-0.016576111316680908,0.03796279430389404,117
1,2026-08-03,CBRE,680.0,686.77844,0.009968316,0.019429326,0.8,-0.009617435745894909,0.022040605545043945,118
1,2026-08-03,WEGE,50.0,50.490746,0.009814978,0.010055065,1.0,0.009454846382141113,0.010055065155029297,119
1,2026-08-03,STAA,1080.0,1090.5836,0.009799695,0.005731344,0.6,-0.003214025404304266,0.026358578354120255,120
1,2026-08-03,WEHA,105.0,106.02663,0.009777332,0.011263251,0.8,-0.007573985494673252,0.025944586843252182,121
1,2026-08-03,SMSM,1790.0,1807.3757,0.009707165,0.009098291,1.0,0.005699539091438055,0.013773536309599876,122
1,2026-08-03,HEXA,4470.0,4513.122,0.009647036,0.006205678,1.0,0.0027636766899377108,0.017891908064484596,123
1,2026-08-03,JGLE,64.0,64.61515,0.009611714,0.014461279,0.8,0.0002786042168736458,0.015134548768401146,124
1,2026-08-03,RODA,57.0,57.54728,0.009601402,0.008375645,0.6,-0.009408354759216309,0.03339371085166931,125
1,2026-08-03,ZYRX,121.0,122.155846,0.009552443,0.015933275,0.8,-0.0010183453559875488,0.01593327522277832,126
1,2026-08-03,CCSI,240.0,242.26372,0.009432149,0.0073862076,1.0,0.003728032112121582,0.015791773796081543,127
1,2026-08-03,CASH,232.0,234.14859,0.009261167,0.017126203,0.8,-0.007701361086219549,0.021014070138335228,128
1,2026-08-03,MBSS,2840.0,2866.1414,0.009204733,0.0011600256,0.6,-0.008348715491592884,0.0322825163602829,129
1,2026-08-03,ELSA,695.0,701.3888,0.009192467,0.009344578,0.8,-0.002657175064086914,0.022111032158136368,130
1,2026-08-03,ZINC,30.0,30.275549,0.009185076,0.009185076,1.0,0.009185075759887695,0.009185075759887695,131
1,2026-08-03,TAYS,50.0,50.458565,0.0091712475,0.0091712475,1.0,0.009171247482299805,0.009171247482299805,132
1,2026-08-03,GJTL,1225.0,1236.1912,0.009135604,0.013168693,0.8,-0.00155560951679945,0.016258621588349342,133
1,2026-08-03,INAI,177.0,178.5723,0.008883047,0.003067851,0.8,-0.001772975898347795,0.0246153324842453,134
1,2026-08-03,SUNI,730.0,736.47784,0.008873713,0.010672212,0.6,-0.010960089974105358,0.030601046979427338,135
1,2026-08-03,ARKO,4900.0,4941.836,0.008537936,0.00047147274,0.6,-0.023516809567809105,0.05130869895219803,136
1,2026-08-03,MKAP,1160.0,1169.8059,0.008453369,0.008453369,1.0,0.008453369140625,0.008453369140625,137
1,2026-08-03,BATR,92.0,92.76245,0.008287549,0.01488471,0.8,-0.005881166085600853,0.017077611759305,138
1,2026-08-03,ELTY,32.0,32.26358,0.008236885,0.01824212,0.6,-0.04021799564361572,0.051599569618701935,139
1,2026-08-03,IPAC,162.0,163.32045,0.008150911,0.0041707754,0.6,-0.015137027949094772,0.03411822021007538,140
1,2026-08-03,WIIM,1705.0,1718.8903,0.00814681,0.004037261,0.8,-0.0034028291702270508,0.02141890488564968,141
1,2026-08-03,MBMA,505.0,509.10596,0.008130575,0.0304358,0.6,-0.03245697170495987,0.03800148889422417,142
1,2026-08-03,SMKL,141.0,142.14365,0.008111048,0.00785625,0.6,-0.013075744733214378,0.03201582282781601,143
1,2026-08-03,MIKA,1765.0,1779.307,0.008106041,0.0012969971,0.6,-0.007479572203010321,0.027004098519682884,144
1,2026-08-03,AREA,282.0,284.21234,0.007845116,0.009233236,0.6,-0.014403652399778366,0.02997577004134655,145
1,2026-08-03,SPRE,93.0,93.71985,0.0077403425,0.003825903,0.6,-0.022115886211395264,0.036912702023983,146
1,2026-08-03,MTFN,13.0,13.099663,0.0076663494,0.0076663494,1.0,0.007666349411010742,0.007666349411010742,147
1,2026-08-03,MDLN,50.0,50.37876,0.007575178,0.006999016,1.0,0.004134440328925848,0.011756681837141514,148
1,2026-08-03,INET,234.0,235.76843,0.0075573684,0.012892842,0.6,-0.016730330884456635,0.02758343145251274,149
1,2026-08-03,PRAY,700.0,705.2878,0.0075540305,0.006857991,0.6,-0.01316530629992485,0.02775697596371174,150
1,2026-08-03,AXIO,111.0,111.83284,0.0075030327,0.0030654669,1.0,0.002469658851623535,0.014972352422773838,151
1,2026-08-03,KLAS,75.0,75.54336,0.00724473,0.008926034,0.6,-0.002955901436507702,0.017435668036341667,152
1,2026-08-03,TLKM,2630.0,2648.847,0.0071660876,0.0017938614,0.8,-0.004714524373412132,0.02173778973519802,153
1,2026-08-03,WIFI,2000.0,2014.2103,0.0071051596,0.011550546,0.6,-0.014082204550504684,0.0262068510055542,154
1,2026-08-03,BATA,59.0,59.41358,0.00700984,0.0077786446,1.0,0.004979848861694336,0.008188962936401367,155
1,2026-08-03,TRST,458.0,461.18427,0.0069525363,0.009739518,0.8,-0.003824865911155939,0.015348219312727451,156
1,2026-08-03,GSMF,88.0,88.60361,0.0068591833,0.009519458,0.6,-0.0027209161780774593,0.014855146408081055,157
1,2026-08-03,AMOR,346.0,348.3686,0.006845689,0.005958557,0.8,-0.00119523995090276,0.015011191368103027,158
1,2026-08-03,MAHA,145.0,145.99051,0.006831169,0.0034793615,1.0,0.002244639443233609,0.014609310775995255,159
1,2026-08-03,TAPG,1750.0,1761.9261,0.006814969,0.00894773,0.8,-0.0056078555062413216,0.01722724363207817,160
1,2026-08-03,CASS,1900.0,1912.9182,0.0067990064,0.006046772,0.8,-0.008733486756682396,0.0226731039583683,161
1,2026-08-03,GULA,790.0,795.35516,0.0067786574,0.016546965,0.8,-0.017261825501918793,0.02372591383755207,162
1,2026-08-03,FISH,615.0,619.14294,0.0067365407,1.1086464e-05,0.6,-0.013060378842055798,0.03160230815410614,163
1,2026-08-03,ACES,360.0,362.40475,0.0066799163,0.008663058,0.8,-0.0035712001845240593,0.014099836349487305,164
1,2026-08-03,TRIS,169.0,170.1274,0.006670964,0.011265278,0.8,-0.004857218358665705,0.014452815055847168,165
1,2026-08-03,BBTN,1215.0,1223.029,0.00660826,0.0025494099,0.6,-0.0050160642713308334,0.02048938162624836,166
1,2026-08-03,GGRP,298.0,299.96152,0.0065822722,0.007597089,0.8,8.121732389554381e-05,0.013318132609128952,167
1,2026-08-03,POLY,32.0,32.208916,0.006528616,0.006528616,1.0,0.006528615951538086,0.006528615951538086,168
1,2026-08-03,SCNP,155.0,156.00447,0.0064804675,0.0061466694,0.8,-0.0027170537505298853,0.01611332781612873,169
1,2026-08-03,BOLA,162.0,163.04114,0.0064267754,0.0028802156,0.6,-0.0018604755168780684,0.017002390697598457,170
1,2026-08-03,PTIS,270.0,271.72183,0.006377113,0.00047504902,0.8,-0.0032611966598778963,0.019134163856506348,171
1,2026-08-03,BPII,434.0,436.76385,0.006368303,0.007891059,0.8,-0.0010743855964392424,0.012243151664733887,172
1,2026-08-03,MDKI,182.0,183.13939,0.0062604425,0.0035498142,1.0,0.0004487753030844033,0.013800358399748802,173
1,2026-08-03,ASPI,400.0,402.49738,0.0062434794,0.006293535,0.8,-0.0075920699164271355,0.01854574680328369,174
1,2026-08-03,BYAN,12025.0,12099.168,0.006167793,0.005741596,0.6,-0.0008795261383056641,0.013307571411132812,175
1,2026-08-03,UNTR,23950.0,24097.514,0.006159282,0.002974391,0.6,-0.0007863044738769531,0.016486190259456635,176
1,2026-08-03,GRPH,59.0,59.358604,0.0060780523,0.00527215,0.8,-0.00020751950796693563,0.012431025505065918,177
1,2026-08-03,PURI,136.0,136.82523,0.006067884,0.009807825,0.6,-0.022544346749782562,0.032425496727228165,178
1,2026-08-03,FORE,690.0,694.0436,0.005860293,0.002948761,0.6,-0.02805640734732151,0.04672839120030403,179
1,2026-08-03,DCII,191350.0,192453.97,0.0057693245,0.0037811995,1.0,0.00305330753326416,0.009575200267136097,180
1,2026-08-03,AMFG,3310.0,3329.0571,0.0057574036,0.004386902,0.8,-0.01787874661386013,0.028234360739588737,181
1,2026-08-03,ASRI,117.0,117.67269,0.005749488,0.010357261,0.6,-0.002277076244354248,0.011686300858855247,182
1,2026-08-03,PANS,1525.0,1533.6855,0.0056954264,0.003819108,0.8,-0.0008421777747571468,0.012897062115371227,183
1,2026-08-03,ENAK,252.0,253.3822,0.0054849265,0.01623416,0.8,-0.018568145111203194,0.018362998962402344,184
1,2026-08-03,KING,270.0,271.44022,0.005334139,0.0166502,0.6,-0.018445372581481934,0.02345561981201172,185
1,2026-08-03,MDIA,191.0,192.00586,0.005266273,0.015057206,0.6,-0.07210788875818253,0.08468805998563766,186
1,2026-08-03,CMNT,800.0,804.20636,0.0052579404,0.0040688515,0.8,-0.0016019581817090511,0.012590693309903145,187
1,2026-08-03,IKBI,565.0,567.8098,0.0049731135,0.0017278194,0.8,0.0002725482336245477,0.011588715948164463,188
